title,description,type_of_task,priority_level,due_date,workload,avg_quality_score,preferred_task,match_score
Design Coordination Meeting,Meet with MEP consultants to ensure design integration across disciplines.,Others,High,2025-04-25,7,0.37,Construction Document,0.37
General Specification Draft,Prepare general notes and material specifications for tender documents.,Conceptual Design,High,2025-04-25,3,0.77,3D Render,0.45
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Hardscape Plan,High,2025-04-29,9,0.31,Construction Document,0.36
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Conceptual Design,Neutral,2025-04-19,7,0.16,Furniture Layout Plan,0.23
Structural Coordination,Coordinate with the structural engineer for beam placements.,Floor Plan,Low,2025-05-07,7,0.37,Roof Plan,0.17
Virtual Reality Walkthrough,Develop an immersive VR experience for client presentation of the office interior.,Section Drawing,Neutral,2025-04-22,4,0.33,Design Development,0.27
Partition Plan Finalization,Define internal partitioning layouts for the healthcare facility.,General Specification,High,2025-04-26,3,0.36,Conceptual Design,0.37
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Schematic Design,Neutral,2025-05-02,3,0.7,Reflected Ceiling Plan,0.34
Sustainability Assessment,Evaluate building materials and systems for LEED compliance.,General Specification,Low,2025-05-07,4,0.45,Design Development,0.19
Finish Schedule Compilation,"List all interior finishes including floors, walls, and ceilings for the commercial space.",Roof Plan,Low,2025-05-09,1,0.46,Site Plan,0.19
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,General Specification,Neutral,2025-04-17,7,0.24,Roof Plan,0.25
General Specification Draft,Prepare general notes and material specifications for tender documents.,Furniture Layout Plan,Neutral,2025-04-21,4,0.44,3D Model,0.29
General Specification Draft,Prepare general notes and material specifications for tender documents.,General Specification,Neutral,2025-05-07,3,0.27,Landscape Plan,0.25
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Custom Millwork & Joinery Drawing,High,2025-04-15,3,0.2,Conceptual Design,0.34
Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Technical Specification,Low,2025-04-21,4,0.51,Technical Specification,0.5
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Material Board,Low,2025-04-30,5,0.5,Technical Specification,0.2
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Floor Plan,Low,2025-05-09,3,0.1,Reflected Ceiling Plan,0.12
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,Elevation Drawing,Neutral,2025-05-02,2,0.53,Roof Plan,0.31
General Specification Draft,Prepare general notes and material specifications for tender documents.,Elevation Drawing,Low,2025-05-09,1,0.25,Reflected Ceiling Plan,0.15
Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Furniture Layout Plan,Neutral,2025-04-20,4,0.55,Zoning & Building Code Compliance,0.31
Technical Specifications,Compile technical specifications for the construction phase.,Others,High,2025-05-09,6,0.39,Custom Millwork & Joinery Drawing,0.38
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Technical Specification,High,2025-04-24,2,0.12,Partition Plan,0.32
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Section Drawing,High,2025-05-09,8,0.17,Partition Plan,0.33
Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Others,Low,2025-04-21,6,0.2,Interior Layout Plan,0.14
Construction Documentation,Compile detailed construction drawings for city permit approval.,Others,Neutral,2025-04-28,7,0.44,General Specification,0.29
Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Others,Neutral,2025-05-10,10,0.46,Construction Document,0.29
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Lighting & Fixture Plan,High,2025-04-19,5,0.38,Virtual Reality,0.38
