preferred_task,quality_score,title,description,type_of_task,priority_level,due_date,workload
3D Render,0.66,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Finish Schedule,Low,2025-04-13,6
Elevation Drawing,0.77,Construction Documentation,Compile detailed construction drawings for city permit approval.,Roof Plan,Low,2025-05-05,2
Elevation Drawing,0.74,Technical Specifications,Compile technical specifications for the construction phase.,Door & Window Schedule,Low,2025-05-05,5
Schematic Design,0.8,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Interior Layout Plan,High,2025-05-08,1
3D Render,0.7,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Virtual Reality,Neutral,2025-05-09,0
Others,0.99,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Partition Plan,Neutral,2025-04-23,4
Furniture Layout Plan,0.65,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Schematic Design,Neutral,2025-05-05,10
Lighting & Fixture Plan,0.83,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Roof Plan,Low,2025-04-25,5
Others,0.98,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Roof Plan,Neutral,2025-04-17,0
Custom Millwork & Joinery Drawing,0.69,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Permit Drawing,Neutral,2025-04-28,5
Permit Drawing,0.74,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Section Drawing,Neutral,2025-04-23,6
Technical Specification,0.7,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Material Board,High,2025-05-07,7
Finish Schedule,0.9,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Door & Window Schedule,High,2025-04-23,2
Material Board,0.86,Structural Coordination,Coordinate with the structural engineer for beam placements.,Partition Plan,High,2025-05-04,4
3D Render,0.96,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Section Drawing,Neutral,2025-04-19,6
Custom Millwork & Joinery Drawing,0.83,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Interior Layout Plan,Neutral,2025-05-03,6
Roof Plan,0.86,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Technical Specification,Neutral,2025-04-14,3
Partition Plan,0.61,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Floor Plan,High,2025-05-02,6
Roof Plan,0.98,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Material Board,High,2025-05-09,10
Conceptual Design,0.62,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Schematic Design,High,2025-04-18,10
Material Board,0.97,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Render,Low,2025-04-13,2
General Specification,0.69,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Custom Millwork & Joinery Drawing,High,2025-05-05,2
Door & Window Schedule,0.77,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Render,Low,2025-04-24,10
Section Drawing,0.76,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Material Board,Low,2025-04-27,1
Permit Drawing,0.74,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Door & Window Schedule,Low,2025-04-17,2
Permit Drawing,0.79,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Others,High,2025-05-09,4
Roof Plan,0.64,Construction Documentation,Compile detailed construction drawings for city permit approval.,Floor Plan,Low,2025-04-29,5
Design Development,0.73,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Permit Drawing,Low,2025-04-14,5
General Specification,0.74,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Reflected Ceiling Plan,High,2025-05-01,2
Elevation Drawing,0.83,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Floor Plan,High,2025-05-07,10
3D Model,0.88,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Section Drawing,High,2025-05-06,0
Furniture Layout Plan,0.87,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,General Specification,Neutral,2025-05-06,5
Construction Document,0.75,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Lighting & Fixture Plan,Neutral,2025-04-15,4
Reflected Ceiling Plan,0.65,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Partition Plan,High,2025-04-15,4
Material Board,0.92,Permit Drawing Submission,Prepare and submit permit drawings for approval.,3D Model,Neutral,2025-05-02,5
Floor Plan,0.62,Structural Coordination,Coordinate with the structural engineer for beam placements.,Custom Millwork & Joinery Drawing,High,2025-05-03,1
Section Drawing,0.89,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Construction Document,Neutral,2025-04-14,4
Door & Window Schedule,0.92,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Roof Plan,Neutral,2025-04-14,4
Section Drawing,0.71,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Schematic Design,Low,2025-05-03,7
Partition Plan,0.76,Technical Specifications,Compile technical specifications for the construction phase.,3D Model,High,2025-05-05,6
Furniture Layout Plan,0.96,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Hardscape Plan,Neutral,2025-04-21,3
Conceptual Design,0.87,Structural Coordination,Coordinate with the structural engineer for beam placements.,General Specification,High,2025-04-13,10
Permit Drawing,0.99,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Interior Layout Plan,High,2025-04-30,7
Hardscape Plan,0.74,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Lighting & Fixture Plan,High,2025-04-22,0
3D Model,0.64,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Conceptual Design,Low,2025-04-16,8
Partition Plan,0.76,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Elevation Drawing,Low,2025-04-21,5
Construction Document,0.95,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Hardscape Plan,Neutral,2025-04-11,3
Construction Document,0.79,Technical Specifications,Compile technical specifications for the construction phase.,Lighting & Fixture Plan,Neutral,2025-04-17,3
Floor Plan,0.78,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Schematic Design,Low,2025-04-24,1
Partition Plan,0.64,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Construction Document,Neutral,2025-05-10,7
Furniture Layout Plan,0.75,Construction Documentation,Compile detailed construction drawings for city permit approval.,Permit Drawing,High,2025-04-20,0
Interior Layout Plan,0.95,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Finish Schedule,Neutral,2025-04-11,0
Conceptual Design,0.69,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Reflected Ceiling Plan,High,2025-04-11,8
Lighting & Fixture Plan,0.9,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,3D Model,Neutral,2025-04-13,7
Others,0.62,Landscape Design Refinement,Enhance the planting layout for the residential garden.,General Specification,Low,2025-04-20,4
Zoning & Building Code Compliance,0.62,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Custom Millwork & Joinery Drawing,Neutral,2025-05-10,1
Section Drawing,0.76,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,3D Render,Neutral,2025-04-26,1
Construction Document,0.65,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Virtual Reality,Low,2025-05-02,2
Floor Plan,0.77,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Others,High,2025-05-05,7
Zoning & Building Code Compliance,0.9,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,3D Render,Low,2025-05-10,4
Roof Plan,0.65,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Site Plan,Neutral,2025-04-26,7
3D Model,0.96,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Floor Plan,High,2025-04-26,6
Technical Specification,0.75,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Partition Plan,High,2025-04-11,7
Material Board,0.89,Construction Documentation,Compile detailed construction drawings for city permit approval.,Reflected Ceiling Plan,Neutral,2025-04-16,10
Conceptual Design,0.99,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Landscape Plan,Low,2025-04-13,9
Section Drawing,0.63,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Conceptual Design,Neutral,2025-04-28,4
Site Plan,0.71,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Furniture Layout Plan,Low,2025-04-30,9
Technical Specification,0.71,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Permit Drawing,High,2025-04-24,6
Furniture Layout Plan,0.61,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Virtual Reality,High,2025-04-22,1
Partition Plan,0.6,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Zoning & Building Code Compliance,Low,2025-04-27,1
Partition Plan,0.65,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Design Development,Neutral,2025-05-08,2
Technical Specification,0.8,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Material Board,Low,2025-04-20,10
Schematic Design,0.72,Custom Joinery Design,Develop detailed joinery drawings for the interior fit-out project.,Technical Specification,Neutral,2025-04-17,4
3D Render,0.79,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Elevation Drawing,Neutral,2025-04-25,8
Furniture Layout Plan,0.94,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Finish Schedule,Low,2025-05-04,10
Zoning & Building Code Compliance,0.66,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Permit Drawing,Low,2025-04-29,3
Landscape Plan,0.75,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Furniture Layout Plan,Neutral,2025-05-01,6
Reflected Ceiling Plan,0.67,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Interior Layout Plan,Neutral,2025-04-19,4
3D Render,0.62,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Virtual Reality,High,2025-04-29,10
3D Model,0.74,Hardscape Design Execution,Design outdoor paving and seating areas for the commercial plaza.,Partition Plan,Low,2025-05-06,4
Construction Document,0.97,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Construction Document,Neutral,2025-05-03,0
Section Drawing,0.84,Technical Specifications,Compile technical specifications for the construction phase.,Finish Schedule,High,2025-05-08,7
Hardscape Plan,0.99,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Design Development,High,2025-05-06,6
Section Drawing,0.63,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Interior Layout Plan,Neutral,2025-05-09,1
