title,description,type_of_task,priority_level,due_date,workload,avg_quality_score,preferred_task,match_score
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Interior Layout Plan,High,2025-05-06,8,0.95,3D Model,0.9
3D Model Development,Create a detailed 3D model for the client’s new residential project.,Construction Document,Neutral,2025-04-23,7,0.83,Others,0.98
Accessibility Audit,Review floor plans for compliance with accessibility standards.,Door & Window Schedule,Low,2025-04-12,1,0.96,Custom Millwork & Joinery Drawing,0.92
Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Furniture Layout Plan,High,2025-04-12,2,0.91,Hardscape Plan,0.98
Reflected Ceiling Plan Drafting,Draft the reflected ceiling plan including lighting and HVAC elements.,Lighting & Fixture Plan,Low,2025-04-26,10,0.9,Schematic Design,0.8
Client Feedback Revisions,Implement client-requested changes into the design presentation.,Elevation Drawing,High,2025-05-04,1,0.95,Reflected Ceiling Plan,0.87
Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Lighting & Fixture Plan,Low,2025-04-11,7,0.91,Zoning & Building Code Compliance,0.89
Interior Layout Planning,Optimize space planning for the luxury apartment interior.,3D Model,High,2025-04-11,9,0.87,Others,0.89
Material Selection & Specification,Curate materials and finishes for the sustainable home project.,3D Render,Neutral,2025-04-17,5,0.9,Roof Plan,0.82
Door & Window Schedule Drafting,Create a detailed schedule for all doors and windows in the hospitality project.,3D Model,High,2025-05-07,7,0.99,Partition Plan,0.85
Schematic Design Iteration,Refine the schematic design for feedback from the stakeholders.,Hardscape Plan,Low,2025-04-12,2,0.84,3D Model,0.92
Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Elevation Drawing,Low,2025-04-16,8,0.96,General Specification,0.92
Construction Site Visit,Visit the site to verify dimensions before construction begins.,Floor Plan,Neutral,2025-05-01,4,0.86,3D Model,0.83
As-Built Drawing Preparation,Update drawings to reflect actual built conditions post-construction.,Schematic Design,Low,2025-04-12,7,0.88,Hardscape Plan,0.88
Permit Drawing Submission,Prepare and submit permit drawings for approval.,Conceptual Design,Neutral,2025-04-18,8,0.97,Material Board,0.82
3D Massing Model,Create a conceptual massing model to test building envelope limitations.,Section Drawing,Neutral,2025-04-16,8,0.98,Door & Window Schedule,0.99
Technical Specifications,Compile technical specifications for the construction phase.,Hardscape Plan,Low,2025-04-15,9,0.83,Conceptual Design,0.81
