task_id,title,description,type_of_task,priority_level,due_date
a50a7ba0-0295-447a-862f-cb5fb8dde558,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Partition Plan,Neutral,2025-05-03
da3bf33e-2372-4b1e-b533-5ceaca9944c5,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Technical Specification,Low,2025-04-28
96c33dbd-433d-4d37-a96d-ecc096cce7bd,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,3D Render,High,2025-04-19
a32387e7-7173-4710-90d5-7df145bb9db5,3D Model Development,Create a detailed 3D model for the client’s new residential project.,3D Render,High,2025-04-29
9f7ecf72-d0e1-4586-b784-df7f4a28ea8b,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,3D Model,Low,2025-05-03
afc281a5-b8e9-4302-883a-5a1f1782e9c8,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Elevation Drawing,High,2025-04-19
9e531755-d4ad-4628-8e55-fcb2925d9e10,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Lighting & Fixture Plan,High,2025-04-21
058018cb-0353-415b-bc50-6f739c42faf3,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Material Board,Neutral,2025-04-27
3bb40450-4ce0-44fc-af85-6f9c11c84dbe,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Landscape Plan,Neutral,2025-04-09
c1420b2b-c520-4898-9d53-af4dfcd28591,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Virtual Reality,Neutral,2025-05-02
58b4a035-2b57-40cb-b78f-04502e5a6975,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Schematic Design,Low,2025-04-08
31ea7347-f51a-4cf0-a03b-ce04dc0f2e11,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Custom Millwork & Joinery Drawing,Neutral,2025-04-11
eba35601-8d4c-43fa-917b-0cd495c1acb3,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Reflected Ceiling Plan,High,2025-04-16
fb0fd0a8-410e-48cf-bf0e-118127a4c424,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Interior Layout Plan,Neutral,2025-04-24
a6634a84-e91e-42c1-bdef-432d12dfac6b,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Roof Plan,High,2025-04-29
e34dd07d-36d7-4fb2-bc50-4b42c60d2e06,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Schematic Design,Low,2025-04-19
fd5eae66-88c6-4477-a477-298c88b6ae34,Facade Elevation Detailing,Finalize the detailed elevation drawings for the high-rise building.,Roof Plan,High,2025-04-21
