user_id,task_type,priority_level,completion_time,accuracy,quality_score,task_status,title,due_date
User_14,Furniture Layout Plan,2,0.69,0.66,0.08,completed,,
User_7,3D Render,2,0.38,0.28,0.27,completed,,
User_12,Other,2,0.84,0.14,0.6,completed,,
User_17,Other,1,0.61,0.65,0.81,completed,,
User_4,Other,1,0.11,0.88,0.7,completed,,
User_13,Landscape Plan,2,0.81,0.71,0.08,completed,,
User_18,Conceptual Design,1,0.31,0.68,0.07,completed,,
User_9,Site Plan,3,0.31,0.52,0.86,completed,,
User_17,3D Render,1,0.65,0.07,0.65,completed,,
User_12,Construction Document,2,0.75,0.77,0.69,completed,,
User_7,Roof Plan,3,0.38,0.75,0.79,completed,,
User_12,Landscape Plan,2,0.7,0.44,0.91,completed,,
User_18,Elevation Drawing,3,0.26,0.68,0.83,completed,,
User_5,Lighting & Fixture Plan,3,0.09,0.14,0.31,completed,,
User_9,3D Render,2,0.1,0.22,0.19,completed,,
User_14,3D Model,3,0.14,0.74,0.21,completed,,
User_12,Reflected Ceiling Plan,2,0.62,0.87,0.56,completed,,
User_2,Roof Plan,1,0.8,0.22,0.21,completed,,
User_6,Finish Schedule,3,0.4,0.66,0.04,completed,,
User_17,Lighting & Fixture Plan,1,0.26,0.67,0.98,completed,,
User_2,Virtual Reality,1,0.05,0.7,0.33,completed,,
User_6,Roof Plan,3,0.83,0.13,0.16,completed,,
User_16,Partition Plan,2,0.99,0.89,0.17,completed,,
User_8,3D Model,3,0.12,0.21,0.31,completed,,
User_16,Section Drawing,1,0.39,0.93,0.56,completed,,
User_20,Design Development,1,0.52,0.79,0.02,completed,,
User_15,Hardscape Plan,1,0.54,0.44,0.07,completed,,
User_10,Material Board,1,0.22,0.47,0.39,completed,,
User_11,Landscape Plan,1,0.42,0.41,0.1,completed,,
User_6,Schematic Design,2,0.14,0.53,0.68,completed,,
User_12,Permit Drawing,1,0.54,0.28,0.84,completed,,
User_11,Reflected Ceiling Plan,3,0.59,0.76,0.22,completed,,
User_13,Partition Plan,2,0.33,0.91,0.49,completed,,
User_5,Custom Millwork & Joinery Drawing,3,0.52,0.48,0.06,completed,,
User_5,Furniture Layout Plan,2,0.94,0.81,0.48,completed,,
User_12,Lighting & Fixture Plan,2,0.22,0.68,0.33,completed,,
User_3,Furniture Layout Plan,2,0.5,0.96,0.56,completed,,
User_16,Material Board,2,0.12,0.14,0.83,completed,,
User_6,Elevation Drawing,2,0.66,0.96,0.63,completed,,
User_20,Roof Plan,3,0.09,0.41,0.77,completed,,
User_13,3D Model,3,0.09,0.71,0.64,completed,,
User_19,General Specification,1,0.97,0.07,0.87,completed,,
User_2,Roof Plan,2,0.64,0.58,0.05,completed,,
User_1,Material Board,2,0.42,0.21,0.87,completed,,
User_6,3D Render,1,0.75,0.26,0.91,completed,,
User_18,3D Model,3,0.41,0.95,0.88,completed,,
User_12,Construction Document,3,0.97,0.66,0.76,completed,,
User_2,Conceptual Design,3,0.75,0.58,0.25,completed,,
User_4,Technical Specification,1,0.69,0.44,0.41,completed,,
User_20,Material Board,3,0.02,0.47,0.01,completed,,
User_4,Other,2,0.68,0.86,0.37,completed,,
User_7,Interior Layout Plan,3,0.54,0.46,0.57,completed,,
User_2,Schematic Design,1,0.19,0.32,0.54,completed,,
User_12,Roof Plan,3,0.55,0.37,0.84,completed,,
User_17,Reflected Ceiling Plan,1,0.87,0.59,0.27,completed,,
User_5,Conceptual Design,1,0.79,0.76,0.63,completed,,
User_17,Design Development,1,0.07,0.03,1.0,completed,,
User_2,3D Render,1,0.24,0.64,0.03,completed,,
User_16,Lighting & Fixture Plan,3,0.19,0.32,0.16,completed,,
User_1,Virtual Reality,2,0.93,0.82,0.34,completed,,
User_11,Construction Document,1,0.48,0.52,0.83,completed,,
User_12,Section Drawing,3,0.25,0.92,0.9,completed,,
User_16,Site Plan,2,0.64,0.38,0.39,completed,,
User_17,Floor Plan,3,0.35,0.16,0.6,completed,,
