user_id,name,quality_score,task_id,title,description,type_of_task,priority_level,due_date
463803b1-48ef-46c7-9bf6-1b130a6bb642,User 7,0.69,b3abda4c-23ae-43bc-a9b8-89933e634850,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Reflected Ceiling Plan,Low,2025-04-06
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.61,0fd52dd0-18d3-45eb-b6d4-3339973569a2,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Floor Plan,Neutral,2025-04-22
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.82,98476cfb-738a-4e87-b262-15aa24440286,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Schematic Design,Low,2025-05-01
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.94,8318aba7-065e-47e6-9b80-3a0516cf1167,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Finish Schedule,Neutral,2025-04-15
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.84,a12123a7-a5f5-484f-87a2-56c4274d4ce4,Interior Layout Planning,Optimize space planning for the luxury apartment interior.,Reflected Ceiling Plan,Low,2025-04-29
f22b7a85-c4a4-4880-95a1-53e8b677aa91,User 9,0.96,9beba935-903f-4515-b777-4100716ecd21,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,3D Model,Low,2025-04-24
c83f077e-1663-46f2-9455-3b4e60e7434a,User 2,0.69,060f7e86-dfff-4056-8bcc-a8dd0a4f91f7,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Lighting & Fixture Plan,High,2025-04-23
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.73,ee7216c3-e5d3-4832-99b7-60f2018bacf8,Structural Coordination,Coordinate with the structural engineer for beam placements.,Schematic Design,High,2025-04-20
aca21bbd-6525-46d8-b7eb-4d67da336104,User 6,0.78,7a419450-31c3-4a82-a1c6-f1a42867ccde,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Conceptual Design,Neutral,2025-04-14
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.83,58c2c4bf-6fc0-4f2f-97df-c17cc3e53670,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Finish Schedule,Low,2025-04-17
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.81,58850627-5a53-43ba-8f9d-b278eeffb3bf,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Lighting & Fixture Plan,Low,2025-04-21
879f8888-4e4d-48e6-ac7f-67c6f066c5ad,User 5,0.63,22737731-547c-4c92-b7e2-36beca38d3c6,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Lighting & Fixture Plan,High,2025-04-09
f22b7a85-c4a4-4880-95a1-53e8b677aa91,User 9,0.79,a6a4d3e8-96bd-422e-993c-e8343c8f7cdd,Technical Specifications,Compile technical specifications for the construction phase.,Permit Drawing,Low,2025-04-17
fd562db9-6ee1-49c7-906c-b697b6cf51ec,User 1,0.85,6080187f-dd8e-4a2b-8de8-827ad2d0a759,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Elevation Drawing,High,2025-05-02
b2e79f59-e1fe-4a08-87dc-f5b4aa649b5c,User 10,0.68,aab65e9f-86c2-4d82-85fe-5ec23fef8ce6,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Hardscape Plan,Neutral,2025-04-26
a7eb03ad-6f99-48a0-b37a-94371e8fb27c,User 4,0.91,a1166507-f29b-4151-b566-9c1c6ecdb21f,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Permit Drawing,Neutral,2025-04-21
8cc5cc70-04f2-43f4-9bb1-a41fb829f559,User 3,0.68,bcf5bc05-d765-4d4e-8f16-37b0ef864d5b,Technical Specifications,Compile technical specifications for the construction phase.,General Specification,Neutral,2025-04-21
c83f077e-1663-46f2-9455-3b4e60e7434a,User 2,0.88,60217ad2-187e-408f-856d-eb9788037265,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Permit Drawing,High,2025-04-25
