user_id,name,quality_score,task_id,title,description,type_of_task,priority_level,due_date
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.75,b2df1919-a0e8-4ca5-818c-d7edf70847af,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Construction Document,High,2025-04-09
b5d488b2-8cba-4d5e-a7fe-4a626fdfb5bf,User 1,0.83,5b5f0f9e-2ff0-41a6-9836-15249fcfde9e,Material Selection & Specification,Curate materials and finishes for the sustainable home project.,Door & Window Schedule,Neutral,2025-04-20
ca5a1f93-648f-4795-8ce0-eaf69044ffbf,User 3,0.86,997dbbe2-dcf3-422e-ae98-6cde736773d1,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Custom Millwork & Joinery Drawing,High,2025-04-24
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.94,ab381cd8-66cf-45d6-aeef-94a8adc1a37e,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Floor Plan,Neutral,2025-04-30
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.68,b4887551-6501-43d2-9232-7760204d6d51,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Others,Neutral,2025-04-19
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.94,ff0d4987-abb0-4206-9cba-fd06e7a70d30,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Custom Millwork & Joinery Drawing,High,2025-04-11
ca5a1f93-648f-4795-8ce0-eaf69044ffbf,User 3,0.99,26f142a8-3605-4a55-997c-d34fe80bb4ea,Conceptual Design Drafting,Prepare an initial concept sketch for the urban park renovation.,Virtual Reality,Neutral,2025-04-29
ca5a1f93-648f-4795-8ce0-eaf69044ffbf,User 3,0.89,84f2e2ae-811e-4798-9595-fab84c0be997,Render Finalization,Enhance the 3D renders for the commercial building's presentation.,Others,Neutral,2025-04-26
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.75,acb96d2b-176a-4f6b-9186-286851b7bd02,Structural Coordination,Coordinate with the structural engineer for beam placements.,Elevation Drawing,Neutral,2025-04-11
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.87,53e3fa32-302f-49d9-9eff-5d81fe9cc472,Lighting Plan Design,Create a lighting and fixture layout for the retail store.,Section Drawing,Low,2025-04-21
ca5a1f93-648f-4795-8ce0-eaf69044ffbf,User 3,0.91,36a7fc7d-fddd-4989-8fad-d06cfc9288f3,3D Model Development,Create a detailed 3D model for the client’s new residential project.,Custom Millwork & Joinery Drawing,Neutral,2025-05-02
93ba2297-6b06-4b1a-8027-fa46f18719e7,User 10,0.99,4869f658-880d-4d84-a4cd-4f08c279dbcb,Landscape Design Refinement,Enhance the planting layout for the residential garden.,Partition Plan,Low,2025-05-03
2c56d310-1721-477f-afec-8afb6ecdc050,User 5,0.66,35a866a1-3bb5-4da5-9edb-e128aeeb0249,Structural Coordination,Coordinate with the structural engineer for beam placements.,Custom Millwork & Joinery Drawing,Neutral,2025-04-29
e118a99c-62db-4ecf-b3e7-21ca9f0c6f08,User 4,0.96,55bd12e5-61ed-452c-aac2-1969f7c34a00,Construction Documentation,Compile detailed construction drawings for city permit approval.,Others,Neutral,2025-04-24
b5d488b2-8cba-4d5e-a7fe-4a626fdfb5bf,User 1,0.95,3239b380-812b-4bc5-9b4a-68d1f849f216,Permit Drawing Submission,Prepare and submit permit drawings for approval.,Virtual Reality,High,2025-04-12
b5d488b2-8cba-4d5e-a7fe-4a626fdfb5bf,User 1,0.6,9444f43d-17bc-4779-aebd-70188f7f482e,Structural Coordination,Coordinate with the structural engineer for beam placements.,General Specification,Neutral,2025-04-07
b5d488b2-8cba-4d5e-a7fe-4a626fdfb5bf,User 1,0.69,5fdcd4f5-6dd9-4296-b249-c94cb750df20,Structural Coordination,Coordinate with the structural engineer for beam placements.,Site Plan,Neutral,2025-04-05
af501ad1-e93d-42c7-8c4c-7e29e64652e5,User 9,0.94,dd3b99a8-cf2a-4ab5-9b0a-be7fdf395dcc,Site Plan Drafting,Prepare a site plan layout considering zoning and access.,Zoning & Building Code Compliance,Low,2025-04-15
ca5a1f93-648f-4795-8ce0-eaf69044ffbf,User 3,0.85,287fbd92-e23d-4913-be69-833b68c96df7,Technical Specifications,Compile technical specifications for the construction phase.,Construction Document,Low,2025-05-01
